# split_ratio=70:15:15 seed=42 objective=17 solver=genetic_algorithm
file_id,split
XC1002657_2860,test
XC1003831_2642,val
XC1006786_13138,val
XC1006786_20816,val
XC1006786_642,val
XC1006787_226,val
XC1029034_14335,train
XC1029034_28707,train
XC1029034_41664,train
XC1029034_49966,train
XC1029034_55061,train
XC1029034_5560,train
XC1041026_17925,train
XC1041026_2413,train
XC1041026_27256,train
XC1041026_32201,train
XC1041026_37499,train
XC1041026_45615,train
XC1071405_1581,val
XC1071405_7346,val
XC113335_22839,train
XC113335_29729,train
XC113335_37805,train
XC113335_62805,train
XC113335_696,train
XC113335_8461,train
XC133013_16436,test
XC133013_24612,test
XC133013_42993,test
XC133013_66443,test
XC133013_72052,test
XC161191_113,train
XC161194_12570,val
XC161194_5138,val
XC161194_70,val
XC161195_138,val
XC161197_11525,test
XC161197_142,test
XC161197_4006,test
XC161197_7375,test
XC161198_13995,val
XC161198_738,val
XC161199_10865,test
XC161199_14640,test
XC161199_20301,test
XC161199_5739,test
XC161431_20840,train
XC161431_26972,train
XC161431_31311,train
XC161431_47293,train
XC161431_69478,train
XC161431_8233,train
XC161968_0,train
XC161968_15274,train
XC161968_21201,train
XC161968_3749,train
XC161968_6840,train
XC162827_0,train
XC162827_12000,train
XC162827_3000,train
XC162827_6000,train
XC162827_9000,train
XC162828_11996,train
XC162828_17482,train
XC162828_20482,train
XC162828_26597,train
XC162828_296,train
XC162828_4518,train
XC162828_7801,train
XC166251_10346,train
XC166251_182,train
XC166251_18944,train
XC166251_25002,train
XC166251_37767,train
XC166251_43438,train
XC175830_46,val
XC179229_104245,train
XC179229_12086,train
XC179229_18021,train
XC179229_23700,train
XC179229_29314,train
XC179229_3349,train
XC179229_51906,train
XC179229_6751,train
XC179229_68687,train
XC179229_82770,train
XC181991_19674,val
XC181991_25757,val
XC181991_31606,val
XC181992_12077,test
XC181992_16950,test
XC181992_20332,test
XC182810_12276,val
XC182810_268,val
XC182810_7612,val
XC189420_10568,train
XC189420_15056,train
XC189420_21350,train
XC189420_25865,train
XC189420_4243,train
XC189420_658,train
XC189420_7477,train
XC190308_1236,train
XC190308_20680,train
XC190308_24542,train
XC190308_30277,train
XC190308_33279,train
XC190873_0,val
XC190873_2728,val
XC190874_2452,val
XC19400_1044,val
XC19400_29855,val
XC19400_57109,val
XC194196_1534,train
XC194196_16751,train
XC194196_25316,train
XC194196_28799,train
XC194196_31967,train
XC194196_35301,train
XC194196_5033,train
XC194905_3994,train
XC194905_995,train
XC196584_12124,train
XC196584_15124,train
XC196584_21784,train
XC196584_25162,train
XC196584_36634,train
XC196584_43543,train
XC196584_52519,train
XC196584_55519,train
XC196584_6124,train
XC196584_9124,train
XC20267_11843,test
XC20267_15187,test
XC20267_3436,test
XC20267_66,test
XC20267_7058,test
XC236515_10244,test
XC236515_13301,test
XC236515_284,test
XC236515_6844,test
XC24590_10813,train
XC24590_14244,train
XC24590_17810,train
XC24590_23830,train
XC24590_3163,train
XC24590_7017,train
XC24591_1044,test
XC24591_13156,test
XC24591_5473,test
XC24591_9301,test
XC27611_0,train
XC27611_11378,train
XC27611_33154,train
XC27611_36387,train
XC27611_63043,train
XC290513_3402,val
XC290513_402,val
XC290513_6402,val
XC290513_9402,val
XC29590_121274,train
XC29590_35263,train
XC29590_423,train
XC29590_46752,train
XC29590_49752,train
XC29590_6541,train
XC29590_66284,train
XC29590_74435,train
XC29590_9541,train
XC29590_96130,train
XC29594_10014,train
XC29594_13949,train
XC29594_17310,train
XC29594_20472,train
XC29594_2282,train
XC29594_23886,train
XC29594_6602,train
XC301717_0,train
XC301717_12000,train
XC301717_15000,train
XC301717_18000,train
XC301717_3000,train
XC301717_6000,train
XC301717_9000,train
XC305691_1164,val
XC305691_4165,val
XC309568_11850,test
XC309568_1570,test
XC309568_4805,test
XC309568_8036,test
XC311271_1282,test
XC311271_14109,test
XC311271_17344,test
XC311271_33505,test
XC314337_13240,test
XC314337_5340,test
XC314337_667,test
XC314337_9308,test
XC314339_375,val
XC314339_9558,val
XC31590_1055,test
XC31590_11841,test
XC31590_4694,test
XC31590_7909,test
XC327430_11577,test
XC327430_19913,test
XC327430_4519,test
XC35804_166,val
XC35804_3475,val
XC35804_6795,val
XC38335_10140,train
XC38335_13141,train
XC38335_16163,train
XC38335_23935,train
