file_id,source_id,clip_index,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC1002657_2860,1002657,2860,44100,4.25,-36.14,0.1163,False
XC1003831_2642,1003831,2642,44100,1.61,-33.18,0.1079,False
XC1006786_13138,1006786,13138,44100,31.86,-22.35,0.5915,False
XC1006786_20816,1006786,20816,44100,33.09,-22.98,0.6572,False
XC1006786_642,1006786,642,44100,36.30,-19.72,0.9324,False
XC1006787_226,1006787,226,44100,36.13,-20.92,0.7888,False
XC1029034_14335,1029034,14335,44100,35.35,-16.36,1.0000,True
XC1029034_28707,1029034,28707,44100,22.23,-32.18,0.4730,False
XC1029034_41664,1029034,41664,44100,23.65,-28.87,0.3892,False
XC1029034_49966,1029034,49966,44100,25.38,-30.00,0.3983,False
XC1029034_55061,1029034,55061,44100,19.25,-35.18,0.3214,False
XC1029034_5560,1029034,5560,44100,28.47,-24.33,0.6190,False
XC1041026_17925,1041026,17925,44100,4.05,-37.88,0.0587,False
XC1041026_2413,1041026,2413,44100,3.64,-37.69,0.0632,False
XC1041026_27256,1041026,27256,44100,3.90,-39.90,0.0479,False
XC1041026_32201,1041026,32201,44100,3.23,-40.28,0.0469,False
XC1041026_37499,1041026,37499,44100,2.92,-40.66,0.0414,False
XC1041026_45615,1041026,45615,44100,2.78,-40.78,0.0460,False
XC113335_22839,113335,22839,44100,13.15,-22.06,0.6737,False
XC113335_29729,113335,29729,44100,13.18,-21.74,0.7358,False
XC113335_37805,113335,37805,44100,13.33,-22.03,0.6198,False
XC113335_62805,113335,62805,44100,8.24,-27.22,0.4349,False
XC113335_696,113335,696,44100,13.92,-21.32,0.6011,False
XC113335_8461,113335,8461,44100,13.85,-21.88,0.7458,False
XC133013_16436,133013,16436,44100,23.60,-27.23,0.2926,False
XC133013_24612,133013,24612,44100,29.83,-19.24,0.4799,False
XC133013_42993,133013,42993,44100,22.93,-26.46,0.3293,False
XC133013_66443,133013,66443,44100,34.54,-16.43,0.7107,False
XC133013_72052,133013,72052,44100,35.70,-14.24,0.7589,False
XC161191_113,161191,113,44100,18.42,-24.60,0.4328,False
XC161194_12570,161194,12570,44100,27.27,-23.92,0.4750,False
XC161194_5138,161194,5138,44100,21.89,-31.53,0.2461,False
XC161194_70,161194,70,44100,22.93,-29.38,0.2388,False
XC161195_138,161195,138,44100,22.78,-23.65,0.4001,False
XC161197_11525,161197,11525,44100,21.27,-25.43,0.3495,False
XC161197_142,161197,142,44100,14.65,-30.37,0.2288,False
XC161197_4006,161197,4006,44100,21.34,-26.91,0.3648,False
XC161197_7375,161197,7375,44100,26.26,-25.64,0.3559,False
XC161198_13995,161198,13995,44100,14.28,-28.01,0.2567,False
XC161198_738,161198,738,44100,15.02,-23.70,0.4020,False
XC161199_10865,161199,10865,44100,34.53,-17.50,0.6923,False
XC161199_14640,161199,14640,44100,36.53,-16.68,0.7166,False
XC161199_20301,161199,20301,44100,35.19,-17.39,0.6346,False
XC161199_5739,161199,5739,44100,30.92,-18.96,0.7099,False
